comentario,usuario,fecha,likes,video_id
El fin del pollo,@gianfrancohuisapichihua8044,2024-12-31T13:00:19Z,2,lfG8PiImmsM
Eso te pasa por ser un pobre y triste iletrado que ni robar sabías para colmo sindicalista y terruco. Saludos a Vladi,@jeanchaconbarboza7528,2024-12-30T22:10:35Z,2,lfG8PiImmsM
Cagandose de miedo hablaque valiente,@Sillyboi-h6r,2024-12-19T23:40:55Z,2,lfG8PiImmsM
TODO YA ESTABA PREPARADO PARA SU SECUESTRO Y ESTO LA PRENSA VENDIDA LO SABE INCLUYENDO UDS TVPERU MANIPULADORES SIGUEN MINTIENDOLE A LA POBLACION MAQUILLANDO INFORMACION,@vito2423,2024-12-10T16:25:44Z,0,lfG8PiImmsM
Ese mamarracho de presidente  tuvo el Perú..por culpa de una mayoría ignorante y resentida quien lo eligió... pero como es tan ignorante inepto y ladrón...se hizo el haraquiri gracias a dios...y se salvó el Perú de tan nefasto sujeto..,@fernandoelizalde3462,2024-12-09T21:30:13Z,1,lfG8PiImmsM
Callo el burro,@LIBERTADVIDAPROPIEDADYFAMILIA,2024-12-09T21:18:37Z,1,lfG8PiImmsM
Metió como siempre el racismo tremendo acomplejado,@JoséArbe-e5p,2024-11-25T18:52:00Z,1,lfG8PiImmsM
Hasta esto lo hizo mal este inepto…..,@mdhcz,2024-11-23T22:20:10Z,2,lfG8PiImmsM
Regresaras pronto presidente,@juanjosecerdaclemente7662,2024-11-11T21:00:32Z,2,lfG8PiImmsM
PORQUÉ TIENE QUE ESTAR LEENDO TANTO!!! NO TIENE NADA QUE DECIR SIN ESTAR LEENDO?😅😮😊,@JoseSevilla-m7w,2024-11-07T18:02:55Z,1,lfG8PiImmsM
"Era claramente lo que dijo que iba a pasar una  dictadura kongresal se cumplió lo que advertía  

Aunque vuestra capacidad no era muy grande el entorno de gente con la que se había rodeado eran nocivas... Si tenía posibilidad de haber cerrado esa cloaca  legalmente  castillo era una piedra en el zapato ante ese kongreso
crim1nal y fascista...

Ya que si se hubiera arrodillado a esas mafias estaría bien protegido como lo hacen con d1na.",@dereksoul1491,2024-10-19T02:36:41Z,0,lfG8PiImmsM
El heroe de los mamertos hahahaha,@davidmanzanares2313,2024-10-17T17:05:31Z,1,lfG8PiImmsM
